Time,CPU Usage
44447.485677,18,5
44447.485688,2,6
44447.485700,3,7
44447.485711,3,0
44447.485723,1,2
44447.485735,3,0
44447.485746,4,3
44447.485758,17,3
44447.485769,2,8
44447.485781,1,0
44447.485792,3,5
44447.485804,2,0
44447.485815,4,5
44447.485827,1,8
44447.485839,5,5
44447.485851,2,0
44447.485862,2,0
44447.485873,2,8
44447.485885,2,2
44447.485896,2,3
44447.485908,1,5
44447.485920,5,4
44447.485931,0,8
44447.485943,1,5
44447.485954,0,8
44447.485966,1,8
44447.485978,1,5
44447.485989,4,5
44447.486001,1,0
44447.486012,2,0
44447.486024,1,0
44447.486035,1,5
44447.486047,1,8
44447.486058,0,8
44447.486070,0,5
44447.486082,1,5
44447.486093,2,0
44447.486105,5,7
44447.486116,4,0
44447.486132,0,0
